Open,High,Low
54.279999,55.0,54.060001
54.599998,54.939999,53.91
53.889999,54.389999,53.779999
54.049999,54.619999,53.939999
54.389999,54.98,54.25
54.790001,54.959999,54.200001
54.75,55.220001,54.619999
54.75,55.439999,53.880001
53.869999,54.41,53.709999
54.169998,54.330002,53.82
53.82,54.639999,53.580002
54.700001,55.27,53.990002
54.75,55.779999,54.509998
55.779999,55.779999,54.849998
54.540001,55.830002,54.540001
55.709999,55.849998,54.700001
54.619999,54.919998,52.990002
53.599998,54.32,53.150002
52.970001,54.09,52.900002
52.830002,53.09,51.709999
52.77,53.790001,52.139999
53.619999,54.389999,53.23
53.73,54.68,52.709999
52.98,53.23,52.200001
52.119999,53.02,52.029999
52.59,53.02,52.110001
53.119999,54.349998,52.57
53.98,53.98,52.880001
52.560001,52.790001,52.060001
52.509998,52.990002,52.389999
52.75,53.509998,52.73
53.439999,53.869999,53.439999
53.360001,54.369999,52.759998
52.529999,54.080002,52.529999
53.16,53.360001,51.950001
52.779999,53.599998,52.779999
53.540001,53.93,53.240002
53.700001,53.759998,53.209999
53.389999,53.540001,52.650002
52.720001,55.41,52.720001
55.639999,55.639999,53.529999
52.869999,52.869999,51.169998
53.709999,55.68,53.57
54.98,55.18,53.630001
55.029999,55.279999,52.799999
53.380001,54.880001,53.380001
54.34,54.880001,53.610001
53.48,53.48,52.099998
52.41,52.889999,50.209999
51.25,52.0,50.669998
51.900002,52.810001,51.419998
52.349998,52.84,51.07
51.630001,52.259998,51.310001
51.82,52.240002,50.599998
51.009998,51.16,50.610001
51.790001,53.110001,51.610001
52.490002,53.049999,52.049999
52.869999,53.130001,52.080002
52.68,52.700001,52.110001
52.939999,52.939999,52.34
52.5,53.200001,52.439999
53.169998,53.619999,52.689999
53.509998,54.049999,52.889999
54.0,54.0,53.02
54.220001,55.290001,53.93
54.529999,55.099998,53.310001
53.459999,55.150002,53.400002
55.02,56.009998,55.02
55.860001,56.099998,55.560001
55.34,55.720001,54.549999
54.849998,55.549999,54.73
55.09,55.240002,54.330002
54.93,55.290001,54.23
55.220001,55.599998,54.880001
55.59,55.98,55.43
55.509998,55.990002,55.400002
55.59,56.41,55.450001
56.25,56.68,55.66
56.669998,56.669998,55.779999
56.52,57.029999,56.060001
57.34,57.709999,56.580002
57.0,57.0,56.25
56.32,56.509998,55.48
56.119999,56.119999,54.169998
54.52,54.91,53.98
54.91,55.389999,54.23
53.880001,55.16,53.84
54.560001,54.759998,52.560001
54.529999,55.130001,53.869999
54.310001,57.060001,54.189999
56.0,56.049999,54.779999
54.880001,55.099998,53.689999
53.400002,54.41,53.130001
54.139999,54.5,53.360001
53.619999,54.419998,53.439999
53.549999,54.779999,53.369999
55.209999,55.540001,54.84
55.650002,56.23,55.490002
56.349998,56.950001,55.849998
56.130001,56.130001,54.0
53.900002,55.549999,53.900002
55.18,56.849998,55.150002
56.970001,57.610001,56.540001
56.830002,57.580002,56.59
57.139999,57.68,56.959999
57.759998,58.099998,57.310001
58.32,59.509998,58.02
59.950001,60.290001,58.110001
59.259998,59.259998,57.689999
58.869999,58.869999,57.34
57.889999,57.970001,56.970001
58.049999,58.200001,56.549999
57.029999,57.889999,55.950001
57.720001,58.029999,56.59
56.759998,56.93,56.009998
55.450001,56.200001,55.040001
55.16,55.57,54.599998
55.68,56.650002,55.34
56.360001,56.360001,55.110001
54.759998,55.860001,54.029999
56.25,56.900002,55.07
55.98,57.25,55.259998
56.470001,57.189999,56.34
56.779999,57.5,56.66
57.16,58.43,56.759998
58.290001,59.509998,57.509998
59.18,59.709999,56.43
56.720001,57.009998,55.830002
55.23,56.23,54.639999
55.02,56.66,54.98
56.23,56.279999,54.84
56.209999,56.209999,55.080002
56.060001,56.48,55.25
55.610001,55.759998,54.52
54.869999,54.869999,53.630001
54.18,54.52,53.669998
53.599998,54.25,53.200001
53.060001,53.5,51.959999
53.389999,55.150002,52.84
55.209999,55.82,54.75
55.630001,55.990002,55.32
56.080002,56.16,54.139999
54.07,54.43,53.630001
54.439999,54.630001,54.040001
54.490002,56.360001,54.490002
56.59,58.66,56.43
58.740002,60.950001,57.389999
60.5,61.200001,60.02
60.52,60.57,59.32
60.299999,61.400002,60.080002
60.93,61.34,59.09
59.400002,60.02,59.169998
59.439999,60.169998,59.080002
59.599998,60.560001,59.16
60.0,60.619999,59.59
59.849998,60.310001,59.73
60.759998,61.200001,59.990002
60.57,62.200001,60.32
61.950001,62.48,61.779999
62.07,63.400002,61.59
63.25,63.580002,62.43
62.5,63.139999,62.099998
62.93,62.93,62.369999
62.57,62.93,62.189999
62.23,62.41,61.549999
62.040001,63.0,61.720001
63.07,63.279999,62.400002
63.169998,63.349998,62.43
63.119999,63.119999,62.119999
62.330002,63.029999,61.740002
62.970001,62.970001,61.77
61.950001,62.59,61.07
60.970001,61.380001,60.119999
61.34,62.470001,61.049999
61.59,62.869999,61.0
62.900002,63.209999,62.040001
62.439999,63.07,61.869999
63.310001,63.400002,62.549999
63.389999,65.18,63.23
63.68,64.309998,62.799999
62.82,63.610001,62.82
63.290001,63.290001,61.5
61.34,62.27,61.32
61.5,63.009998,61.369999
62.599998,62.900002,61.91
62.459999,62.459999,60.540001
60.740002,60.869999,60.119999
60.009998,60.009998,57.549999
57.23,57.689999,56.150002
56.619999,57.209999,55.939999
56.919998,58.189999,56.330002
57.419998,58.27,55.84
57.900002,59.150002,57.650002
59.209999,61.119999,59.0
61.119999,61.360001,60.630001
61.0,61.860001,60.5
61.200001,61.57,60.5
60.830002,60.830002,59.48
60.189999,61.0,59.689999
59.310001,60.040001,59.080002
60.18,60.18,58.259998
57.900002,60.209999,57.619999
59.540001,59.93,58.580002
59.360001,60.349998,59.25
60.57,60.669998,59.860001
60.060001,60.619999,59.75
60.68,60.68,59.299999
59.709999,60.799999,59.68
60.889999,61.150002,60.32
60.810001,62.470001,60.490002
62.09,62.82,61.73
62.150002,62.580002,61.5
62.740002,62.93,62.029999
61.09,63.09,60.549999
63.27,64.559998,63.07
64.68,64.989998,63.23
62.900002,63.34,62.209999
63.869999,63.970001,62.299999
63.0,65.190002,63.0
65.449997,65.940002,64.879997
65.470001,66.169998,65.230003
66.480003,66.769997,65.900002
66.199997,66.93,65.290001
66.709999,68.510002,66.190002
68.470001,69.43,67.75
67.68,69.790001,67.559998
68.349998,68.459999,67.599998
68.410004,69.169998,68.309998
68.849998,69.290001,68.519997
69.059998,69.199997,67.800003
67.849998,69.099998,67.029999
68.330002,69.099998,68.220001
68.07,69.120003,67.75
68.07,69.029999,67.099998
67.709999,68.720001,66.910004
68.599998,69.190002,68.239998
68.5,69.239998,68.5
68.32,68.519997,66.449997
67.720001,68.339996,67.43
68.300003,68.68,66.980003
67.379997,67.379997,66.389999
66.309998,66.309998,65.550003
65.57,67.300003,65.440002
67.690002,67.910004,66.989998
66.589996,67.309998,66.0
66.959999,67.0,66.010002
66.440002,67.309998,65.75
67.970001,68.139999,67.309998
67.57,68.440002,67.57
67.959999,68.910004,67.919998
68.5,68.769997,68.07
68.529999,70.25,68.5
